street,house,repressed,longitude,latitude,distance from Kremlin
Борисоглебский  пер.,д.15,1,37.589868,55.754578,1.72592753697
Боровая  ул.,д.7,1,37.716468,55.769413,6.51294336177
Боровая  ул.,д.26,1,37.716926,55.766876,6.46265396716
Боровая  ул.,д.40,1,,,
Бородинская 1-я ул.,д.16,1,,,
Бородинский 3-й пер.,д.10,1,37.573411,55.745397,2.8294458248
Борьбы  пл.,д.15,2,37.606622,55.785574,3.78903281411
Ботанический  пер.,д.7,1,37.637802,55.778325,3.200759067
Ботанический  пер.,д.11,2,37.638180,55.778821,3.26075940332
Боткинский  пр.,д.6,3,37.554888,55.782552,5.16367716845
Бочкова  ул.,д.6,1,37.632404,55.811477,6.68170422617
Боярский  пер.,д.3,1,37.646714,55.768253,2.58893347826
Брестская 1-я ул.,д.12,1,37.593812,55.770345,2.50481640939
Брестская 1-я ул.,д.15,3,37.592572,55.770608,2.57409615583
Брестская 1-я ул.,д.21,1,37.591899,55.770659,2.60389882849
Брестская 1-я ул.,д.28,1,37.591395,55.771869,2.73068685471
Брестская 1-я ул.,д.29,3,37.591027,55.771525,2.71361094048
Брестская 1-я ул.,д.41,1,37.587497,55.773277,3.0025649118
Брестская 1-я ул.,д.52,1,37.586131,55.774796,3.18844317839
Брестская 1-я ул.,д.57,1,37.585422,55.774715,3.2084697193
Брестская 1-я ул.,д.59,1,37.585422,55.774715,3.2084697193
Брестская 1-я ул.,д.60,5,37.585736,55.775013,3.22261907316
Брестская 2-я ул.,д.13,1,37.590470,55.769904,2.59398360764
Брестская 2-я ул.,д.35,1,37.585098,55.773646,3.12873081228
Брестская 2-я ул.,д.37,1,37.585098,55.773646,3.12873081228
Брестская 2-я ул.,д.39,3,37.584559,55.774193,3.19707642045
Брестская 2-я ул.,д.42,1,37.585637,55.774051,3.1422745679
Брестская 2-я ул.,д.43,1,37.583823,55.774593,3.26068632071
Брестская 2-я ул.,д.45,1,37.582879,55.774892,3.32404483736
Брестская 2-я ул.,д.52,1,37.583859,55.775094,3.30235584147
Брестская 2-я ул.,д.54,2,37.583859,55.775094,3.30235584147
Бригадирский  пер.,д.1,1,37.676861,55.765853,4.04533072086
Бригадирский  пер.,д.6,1,37.677975,55.765306,4.08750401644
Бродников  пер.,д.3,1,37.617788,55.736924,1.6779790393
Бронная Б. ул.,д.3,2,37.597558,55.760550,1.54672798355
Бронная Б. ул.,д.6а,8,37.598726,55.760636,1.4958336948
Бронная Б. ул.,д.8,4,37.599831,55.761057,1.47498479662
Бронная Б. ул.,д.10,1,37.599822,55.761502,1.50956839749
Бронная Б. ул.,д.17,1,37.600208,55.762723,1.59131371684
Бронная Б. ул.,д.20,2,37.602427,55.763660,1.58672411498
Бронная Б. ул.,д.26,2,37.602427,55.763660,1.58672411498
Бронная Б. ул.,д.28,1,37.602427,55.763660,1.58672411498
Бронная М. ул.,д.4,1,37.597459,55.759567,1.48724559479
Бронная М. ул.,д.8,2,37.596965,55.760332,1.56169578177
Бронная М. ул.,д.10,1,37.596669,55.760722,1.60248739334
Бронная М. ул.,д.11,2,37.596067,55.759836,1.57619581071
Бронная М. ул.,д.12,4,37.596696,55.761138,1.62954280846
Бронная М. ул.,д.13,1,37.596067,55.759836,1.57619581071
